id,p_code,procurement,unit_price,pref_order_qty,unit_meas,mfg_lt,curr_stock
1,LKV194943,M,769.83,495,KG,17 days,7416
2,DTO016697,M,590.81,100,FT,4 days,4566
3,KUX525968,B,828.46,449,LBS,,1498
4,LDR349584,B,763.12,10,M,,3187
5,WKJ464062,M,162.69,261,KG,15 days,7169
6,BCT971655,B,159.62,28,M,,344
7,SAE369762,B,943.85,118,EA,,4697
8,ZYD231612,M,702.09,296,LBS,11 days,7244
9,BYT772553,M,416.97,210,KG,26 days,3268
10,UOQ777306,M,505.28,60,FT,6 days,6632
11,DGB646370,B,219.98,166,KG,,9142
12,SDW269368,M,164.7,319,KG,9 days,9046
13,KZS112406,B,938.46,448,KG,,3408
14,IYZ146428,B,950.26,4,LBS,,2314
15,NMO252750,B,321.2,97,M,,66
16,GLE827588,B,19.02,34,FT,,984
17,QDQ008201,B,501.72,486,FT,,1694
18,LYD199751,M,935.66,481,KG,23 days,5044
19,ZXM335015,B,309.19,427,FT,,4633
20,DTV702413,M,177.74,451,KG,29 days,2347
21,LCO358356,M,164.01,377,EA,25 days,1252
22,TFC438837,B,821.89,455,KG,,412
23,SQQ564527,B,666.62,226,FT,,2070
24,YNS007060,M,926.03,379,KG,21 days,4615
25,NYH160613,M,526.15,335,KG,26 days,7436
26,ARK768544,B,180.83,254,FT,,127
27,NCX770257,M,31.65,54,EA,21 days,4185
28,QXT198203,M,227.07,243,M,10 days,7149
29,HQY759767,M,647.09,282,M,6 days,1535
30,YKR126584,B,126.09,26,LBS,,5046
31,QER055102,M,806.32,102,LBS,18 days,9237
32,LYC429620,M,761.51,201,KG,18 days,9832
33,XKD073926,B,471.09,61,EA,,4414
34,YQB720629,M,806.81,157,LBS,19 days,6695
35,KVY238051,M,639.01,455,LBS,2 days,4797
36,KXQ656136,M,940.42,423,EA,3 days,5599
37,JQB238135,B,560.98,491,LBS,,4147
38,RVJ219690,B,536.79,346,EA,,6467
39,EJG820061,B,975.72,284,EA,,2997
40,DBZ526665,M,947.52,369,KG,1 days,9031
41,AAT017140,M,181.96,127,EA,23 days,4430
42,AWV160511,B,183.07,363,KG,,6104
43,TZN867198,B,10.24,203,M,,6992
44,DMK075484,B,102.44,331,LBS,,9995
45,ELZ326388,B,321.25,458,M,,809
46,JTR363321,B,804.04,183,EA,,6211
47,XOE407586,B,157.76,197,EA,,9717
48,ZLZ994256,M,175.09,208,FT,8 days,7576
49,PEL657570,B,73.57,254,KG,,6099
50,DJX810071,M,600.64,441,KG,30 days,51
51,DQM831810,B,217.98,335,KG,,7832
52,TRI409579,M,582.66,62,EA,6 days,6294
53,GOM512589,M,53.2,42,FT,11 days,941
54,AWY934984,M,445.79,156,LBS,15 days,726
55,UJI583087,B,919.55,427,LBS,,8078
56,QFI065517,B,329.51,204,LBS,,4740
57,BLC427908,B,542.69,194,LBS,,2825
58,EAH669950,M,894.68,249,LBS,12 days,1095
59,PFT709016,B,156.9,353,FT,,9472
60,ROL666525,B,527.65,120,KG,,6973
61,TBC166666,M,315.65,297,KG,11 days,8486
62,XTA969633,B,919.71,79,LBS,,1754
63,LNA257743,B,776.52,253,LBS,,3879
64,FRG589363,M,233.55,98,FT,19 days,4461
65,LSB330674,M,501.49,61,FT,16 days,3471
66,FTX284536,M,969.18,43,M,13 days,9632
67,YWG980060,B,402.57,428,LBS,,807
68,ZAE445575,B,451.12,102,EA,,4307
69,HWA387872,B,859.82,173,KG,,5274
70,EFS612535,M,551.43,209,M,25 days,4379
71,GHP565833,B,543.48,24,KG,,2713
72,URB178306,M,584.3,424,FT,2 days,8032
73,HKC097149,B,108.1,336,EA,,948
74,DNP872397,B,784.4,152,LBS,,6760
75,UKM328671,M,29.98,202,M,24 days,2209
76,MDV705660,B,13.55,408,FT,,3711
