order_no,line_no,order_stat,part,qty,unit_price,due,line_cls
SO-7161692,1,X,2691,20,354.62,2024-06-10 22:07:44.579751,
SO-0670935,1,O,7526,32,870.32,2024-11-08 01:24:32.060312,
SO-0670935,2,O,8691,50,466.23,2024-12-10 00:58:14.131825,
SO-0670935,3,X,8301,35,242.91,2025-01-01 17:26:44.774632,
SO-0670935,4,X,1325,9,1340.8,2025-01-04 06:36:06.263402,
SO-0670935,5,X,3814,22,192.79,2024-12-02 18:20:46.082263,
SO-0281011,1,O,5193,46,1299.77,2023-07-21 15:49:56.781618,
SO-0281011,2,C,8386,11,980.25,2023-05-12 04:25:07.844931,2023-05-20 19:23:55.274678
SO-0281011,3,X,9714,36,1479.67,2023-06-19 21:50:22.641197,
SO-2824336,1,C,3983,34,654.35,2025-05-11 17:16:49.715954,2025-06-04 13:10:25.665906
SO-2824336,2,C,1318,10,689.91,2025-03-19 08:47:42.947441,2025-04-01 11:35:53.408950
SO-2824336,3,C,159,3,1027.4,2025-02-16 06:05:11.221233,2025-03-16 07:40:35.440459
SO-2824336,4,C,9679,14,689.3,2025-02-25 07:02:19.032667,2025-03-19 10:15:31.950174
SO-7892686,1,O,8135,40,1002.28,2024-12-14 09:44:44.680033,
SO-7892686,2,O,4410,37,747.12,2024-11-16 22:31:43.841944,
SO-7828989,1,O,6539,43,884.86,2023-10-08 07:21:40.706809,
SO-7828989,2,O,8724,40,1239.96,2023-10-06 03:35:49.084152,
SO-7828989,3,C,7067,44,158.13,2023-09-30 20:13:52.488000,2023-10-03 11:13:39.768999
SO-7828989,4,O,3754,43,540.81,2023-12-10 14:06:44.212590,
SO-7828989,5,X,272,41,1054.8,2023-10-06 17:47:15.962142,
SO-7828989,6,C,5387,8,4.67,2023-11-17 17:45:20.975889,2023-11-19 22:43:01.794758
SO-1694221,1,O,9182,20,148.4,2023-11-08 14:14:10.487024,
SO-1694221,2,X,9989,5,1109.87,2024-01-10 14:02:22.300261,
SO-1694221,3,O,7738,14,920.04,2024-01-04 10:25:41.757579,
SO-1694221,4,C,7128,33,669.6,2023-11-17 13:47:49.517740,2023-12-17 00:00:04.807499
SO-1694221,5,O,4738,6,1112.09,2023-12-02 09:15:28.697053,
SO-1694221,6,O,4137,23,425.89,2023-12-05 01:02:42.046572,
SO-1187452,1,O,419,50,947.88,2023-05-12 17:50:52.795245,
SO-1187452,2,C,9027,9,322.38,2023-06-07 04:38:01.908495,2023-06-14 23:03:40.021188
SO-1187452,3,C,7166,49,311.09,2023-05-21 19:59:04.987366,2023-06-04 16:03:45.693889
SO-1187452,4,O,9276,42,5.1,2023-07-12 12:43:02.971770,
SO-1187452,5,X,3896,37,793.04,2023-05-09 12:29:57.872388,
SO-1663212,1,O,9061,47,866.24,2024-09-10 19:57:08.695142,
SO-1663212,2,C,8238,16,1090.72,2024-08-10 22:58:16.181887,2024-09-09 02:19:47.269744
SO-7884266,1,O,6573,28,55.65,2024-02-06 19:00:07.025759,
SO-7884266,2,X,9879,1,333.92,2024-02-09 11:23:05.166993,
SO-7884266,3,O,487,22,328.77,2024-01-10 17:47:27.725847,
SO-7884266,4,O,7257,10,903.64,2024-02-01 03:07:03.398566,
SO-7884266,5,C,4561,5,1235.15,2024-03-16 23:27:56.338979,2024-04-07 14:51:36.469048
SO-7884266,6,X,4886,14,807.35,2024-02-29 21:06:28.719675,
SO-3154122,1,X,9699,23,1447.3,2023-10-03 08:45:54.666703,
SO-3154122,2,O,9095,48,546.58,2023-10-31 11:52:20.908551,
SO-3154122,3,C,508,23,303.77,2023-11-22 16:18:06.790920,2023-12-14 10:49:43.246672
SO-3154122,4,X,1928,2,793.28,2023-10-18 18:23:34.252403,
SO-3154122,5,O,690,40,993.99,2023-09-30 21:52:15.748804,
SO-3154122,6,O,8910,30,1084.74,2023-11-18 19:03:04.709915,
SO-0020244,1,X,3134,47,757.92,2023-10-29 22:10:44.012181,
SO-0020244,2,X,7104,48,686.78,2023-10-01 16:20:45.467468,
SO-0020244,3,O,1744,46,352.59,2023-09-20 23:00:58.685949,
SO-0020244,4,O,6012,42,60.29,2023-09-11 08:35:12.578696,
SO-0020244,5,C,1405,15,3.55,2023-09-18 08:29:36.209951,2023-09-21 20:10:04.395563
SO-0020244,6,C,9462,21,515.41,2023-10-10 15:00:15.314434,2023-10-23 23:32:48.354659
SO-9247834,1,X,4604,28,575.93,2024-12-04 00:05:59.178894,
SO-9247834,2,X,2083,27,1251.19,2024-09-24 09:00:12.513794,
SO-9247834,3,O,6364,5,57.13,2024-10-16 19:38:46.267666,
SO-9129259,1,C,6235,40,54.68,2024-10-10 03:18:40.705716,2024-10-10 16:30:27.810231
SO-9129259,2,O,5777,30,683.84,2024-08-08 05:51:43.123499,
SO-9129259,3,O,8328,25,1263.84,2024-08-14 16:04:38.649849,
SO-9129259,4,C,5179,16,13.72,2024-08-18 03:15:32.185679,2024-08-31 10:36:43.184777
SO-3104639,1,C,7979,5,765.78,2024-08-08 08:01:07.822340,2024-09-05 03:18:10.228996
SO-3104639,2,O,7349,38,1062.41,2024-08-16 07:36:19.016500,
SO-2104459,1,X,6279,42,144.48,2023-09-10 15:23:21.469128,
SO-2104459,2,X,9720,47,99.68,2023-09-18 03:26:20.086506,
SO-2104459,3,C,5089,12,1115.51,2023-08-20 01:48:18.840901,2023-08-29 02:41:55.090095
SO-2104459,4,O,5642,33,392.65,2023-10-20 02:10:23.760876,
SO-2104459,5,C,1506,12,666.08,2023-08-09 04:06:39.712593,2023-08-31 14:49:45.700965
SO-2104459,6,X,7773,42,355.17,2023-09-23 15:39:02.063530,
SO-7169892,1,C,7369,45,1024.8,2024-09-27 03:43:35.355018,2024-10-10 16:33:13.210940
SO-7169892,2,O,8415,7,802.9,2024-12-03 23:55:58.989875,
SO-3899716,1,X,7891,7,936.73,2024-12-02 15:03:15.889068,
SO-3899716,2,X,723,25,298.44,2025-01-09 21:35:22.619431,
SO-3899716,3,X,970,45,380.67,2025-01-17 23:28:52.369254,
SO-3899716,4,O,1288,9,1221.62,2024-12-16 05:47:30.656234,
SO-3899716,5,X,6853,18,337.69,2025-01-08 17:00:18.642323,
SO-7588011,1,O,7604,42,1047.41,2025-05-02 12:21:35.957639,
SO-7588011,2,O,3778,43,422.22,2025-05-26 14:20:08.977634,
SO-7588011,3,X,1481,23,688.44,2025-06-11 08:45:07.151850,
SO-7588011,4,X,918,43,487.71,2025-05-20 17:33:43.560756,
SO-7588011,5,C,6743,42,704.36,2025-05-01 07:41:04.403864,2025-05-12 15:31:55.774799
SO-7588011,6,X,9917,24,560.13,2025-05-03 23:33:32.910246,
SO-7977310,1,C,3611,48,461.18,2023-12-01 20:08:06.028308,2023-12-02 03:25:02.268687
SO-0024173,1,C,1477,30,187.92,2023-08-11 16:05:43.522536,2023-08-23 07:29:00.261732
SO-0024173,2,X,1279,9,110.73,2023-08-04 08:50:56.520744,
SO-0024173,3,C,3681,9,935.64,2023-09-23 18:30:21.699917,2023-09-25 13:39:58.345614
SO-0024173,4,O,8018,12,503.38,2023-08-10 22:50:06.799369,
SO-0024173,5,X,3939,46,357.04,2023-09-05 11:03:39.726180,
SO-0024173,6,C,2211,36,997.04,2023-07-27 22:59:10.641766,2023-08-12 03:11:57.335129
SO-0287621,1,X,7803,27,257.52,2023-08-19 20:54:57.143312,
SO-0287621,2,X,2853,25,1327.44,2023-07-31 22:34:14.076065,
SO-2663949,1,C,4472,22,109.69,2024-12-22 02:10:49.860524,2025-01-08 03:59:27.445655
SO-2663949,2,O,8588,20,918.5,2024-11-09 20:40:05.233697,
SO-2663949,3,X,7236,34,1291.63,2024-09-25 21:43:19.411509,
SO-2663949,4,X,7718,23,735.56,2024-11-30 01:14:50.822118,
SO-2663949,5,C,9701,10,802.06,2024-11-17 14:12:53.757056,2024-11-22 18:03:14.702322
SO-5187457,1,X,6154,21,1322.44,2023-09-03 18:33:28.967065,
SO-5187457,2,O,5269,31,301.78,2023-09-22 14:51:36.041525,
SO-8336894,1,X,5108,5,925.85,2025-05-19 03:55:35.997836,
SO-8336894,2,C,1883,23,1320.29,2025-05-14 07:17:03.498407,2025-05-15 14:18:16.348773
SO-8336894,3,C,2384,45,958.74,2025-03-25 06:51:04.911039,2025-03-28 20:56:41.049471
SO-6117345,1,C,5676,31,50.71,2023-07-03 03:30:23.653457,2023-07-10 06:17:04.943363
SO-6117345,2,O,387,7,985.31,2023-06-29 14:21:58.673698,
SO-6117345,3,X,6087,29,738.21,2023-07-06 06:28:31.022135,
SO-6117345,4,C,2299,19,1483.21,2023-05-24 22:21:38.179432,2023-06-08 18:20:21.458520
SO-6117345,5,X,5961,12,341.29,2023-04-25 22:12:08.433385,
SO-6117345,6,C,4945,17,776.22,2023-07-12 17:58:57.975802,2023-07-27 14:29:29.338074
SO-5940731,1,O,4941,24,1019.37,2023-10-05 22:51:09.608043,
SO-5940731,2,X,9639,37,1103.31,2023-09-19 09:23:14.821064,
SO-1196658,1,O,2975,11,1132.12,2023-08-22 03:47:13.956613,
SO-9753583,1,C,5859,49,783.93,2024-05-31 00:58:55.149064,2024-06-16 01:13:47.025695
SO-9753583,2,O,5510,17,1146.62,2024-06-18 23:52:56.399044,
SO-9753583,3,C,279,27,1394.64,2024-04-05 20:01:08.131106,2024-05-04 11:10:12.552342
SO-9753583,4,C,7531,3,596.4,2024-04-21 07:25:10.191971,2024-04-23 02:45:11.108374
SO-3807929,1,X,8993,42,1246.28,2025-06-03 00:10:36.715766,
